name,description,advice,traffic,npName,img_url
北一縱走北二,,第一天思源埡口→6.8K登山口→木杆鞍部→南湖溪木屋第二天南湖溪木屋→舊香菇寮→中央尖溪木屋第三天中央尖溪木屋→中央尖山鞍部→中央尖山→中央山西峰鞍部營地第四天中央山西峰鞍部營地→中央尖山西峰→甘薯峰→甘薯南峰營地第五天甘薯南峰營地→遠多志山→耳無溪營地→17.5K登山口→11.7K→清泉橋,,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_12%E5%8C%97%E4%B8%80%E7%B8%B1%E8%B5%B0%E5%8C%97%E4%BA%8C.jpg
閂山鈴鳴山,,第一天清泉橋→11.7K→17.5K登山口→23.2k登山口→閂山→23.2k登山口→25K工寮第二天25K工寮→27K登山口→鈴鳴山→27K登山口→25K工寮→23.2k登山口→17.5K登山口→11.7K→清泉橋,,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_12%E9%96%82%E5%B1%B1%E9%88%B4%E9%B3%B4%E5%B1%B1.jpg
閂山單攻,,第一天清泉橋→11.7K→17.5K登山口→23.2k登山口→閂山→23.2k登山口→17.5K登山口→11.7K→清泉橋,,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_14%E9%96%82%E5%B1%B1%E5%96%AE%E6%94%BB.jpg
奇萊南峰,,第一天奇萊南峰登山口→奇萊南峰→奇萊南峰登山口,,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_15%E5%A5%87%E8%90%8A%E5%8D%97%E5%B3%B0.jpg
奇萊連峰,奇萊連峰係指中橫以南、能高越嶺以北的中央山脈段。此段稜脈分脈多且曲折迂迴，著名的奇萊東稜「奇萊-太魯閣山列就是頗負盛名的橫斷路線」。奇萊主峰、北峰是奇萊連峰中最雄偉壯觀的兩顆山頭，傳說中的黃金草原就是出現在這段稜線上。,第一天奇萊登山口→黑水塘山屋→成功山屋→奇萊山屋第二天奇萊山屋→奇萊主峰→卡羅樓山→卡東木屋→奇萊裡山→奇萊南峰登山口第三天奇萊南峰登山口→奇萊南峰→奇萊南峰登山口,可沿台14甲線公路到達合歡山，循松雪樓下方水泥路即可到達。從太魯閣走台8縣到了大禹嶺(112.5k)，轉台14縣經小風口(36.5k)，到了石門山(33.5k)再走一小段路就可到達。,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_03%E5%A5%87%E8%90%8A%E9%80%A3%E5%B3%B0.jpg
八通關線,八通關日治越道為日治時代，日人為了大力實行理蕃政策及連線台灣東、西部的交通於1921年闢建完成的步道。在玉山國家公園內是一條東西橫向步道，由南投東埔橫越中央山脈至花蓮山風登山口全程共約96公里，以大水窟為中心分為東、西兩段。本路線是以山腰沿等高線為原則開闢，儘量避免路線陡度太大，步道起伏不大，在大水窟以西之步道西段，因保持較為完整，尤其是東埔至八通關路段步況良好，登山遊客較多；而大水窟以東之步道東段，但因路線較長且年久失修，雖玉山國家公園管理處近來陸續修復吊橋及興建山屋，但沿線步道因多次颱風侵襲，尚有數處崩塌，亦是一條困難度極高的長程登山路線。本條路線沿線處處可見日本人建路、修路的技術，如：以當地粘板岩石材砌成「人」字型牒面，或堆成路肩駁崁，沿途修築有駐在所、棧道、溝渠等，雖因年久荒廢，但尚有砌石之遺跡。攀登此步道可了解日人的修路意義、技術、道路規模及觀賞沿線優美自然景觀，是一條兼具有學術研究、欣賞人文景物價值之登山步徑。,路線一(來回約3小時)步道口(0.65 K) 山風(0.25 K) →山風一號橋(0.8 K) →山風瀑布→回程路線二(來回約8小時)步道口(1.7 K) →山風瀑布(3.2 K) →佳心(4.9 K) →黃麻一號橋→回程第一天玉里(車程約15min)→南安地區(車程約15min) →步道口 (步行約40min)→山風(步行約5小時)→瓦拉米山屋（宿）第二天瓦拉米(步行約3.5小時)→山風(步行約40min) →步道口(車程約15min)→南安地區(車程約15min)→玉里第一天東埔(5.5K) →樂樂山屋第二天樂樂山屋(11.6K) → 八通關(2K) → 八通關山登山口(2k) →八通關山(2K) → 八通關山登山口(2.4k) →中央金礦山屋第三天中央金礦山屋(3.7K) →杜鵑營地(4K) → 南營地(2.1K) → 大水窟山屋第四天大水窟山屋(3.7 K) → 米亞桑駐在所(5.6K) →托馬斯駐在所(營地)第五天托馬斯駐在所(3.6K) →意西拉駐在所(9.1K) →大分山屋第六天大分山屋(4.6K) → 多美麗（十三里駐在所）(5.9K) →抱崖山屋（抱崖駐在所）第七天抱崖山屋(14.3K) →瓦拉米山屋（蕨駐在所）第八天瓦拉米山屋（蕨駐在所）(4.2K) →黃麻(4.9K) → 佳心( 4.9K)→山風登山口(6K) →南安遊客中心,東埔登山口：可由南投水里沿台21線公路至和社轉往東埔始可抵達，自水里亦有員林客運班車往返。 山風登山口：可自行開車自花蓮玉里鎮沿台18線公路抵達，另在玉里有花蓮客運班車到卓樂後再自行沿台30線公路抵達。[玉山園區聯外道路路況]，敬請出發前先與公路單位或玉管處各遊客中心聯繫。 台21線新中橫公路-信義工務段049-2791510或新中橫監工站049-2702033 台9線花東公路-花蓮工務段03-8230570，台東工務段089-325073高級登山步道。 [登山路線路況]洽詢單位及電話： 東埔~八通關：塔塔加管理站，049-2702200,玉山國家公園,https://npm.cpami.gov.tw/images/map/ys_03%E5%85%AB%E9%80%9A%E9%97%9C%E6%97%A5%E6%B2%BB%E8%B6%8A%E9%81%93%E7%B7%9A.png
南二段線,南二段路程主要在中央山脈主脊上縱走，在玉山國家公園內呈雙Ｓ型由北向南綿延而下，為一條縱向步道，攀行本路線是以東埔登山口或南橫公路的向陽登山口為起點，採由北往南或由南往北方式縱走。而本區位於玉山國家公園中央軸心地帶，往北可於巴奈伊克接連八通關日治越道西段到東埔登山口，往南可接續三叉山及向陽山到達向陽登山口；本路線步道全長約為63.5公里，自秀姑坪往南路段屬三千七百萬年沉積的畢祿山層，沿途經過百岳名 山達九座之多，全程大部份海拔在三千公尺以上，地勢高徒，步道不但長且沿線斷崖、雜草密布、氣候變化大，極富挑戰性與冒險性。本路線沿著中央山脈主脊稜線而走，視野展望良好，且時而上山峰時而下谷地，景觀變化萬千。秀姑坪一帶遍布白木林及高山杜鵑，春夏時節花苞齊放一片花海景觀；八通關一帶、大水窟山經南大水窟山到達芬尖山、塔芬池一帶及南雙頭山、三叉山一帶等處為有名的「高山草原」，植物組成為玉山圓柏、玉山杜鵑、玉山箭竹及二葉松林等；大水窟北側、達芬尖山右側為陡峻之斷崖；大水窟、塔芬池、嘉明湖等為高山湖泊，有如山中明珠；本路線南側山峰－向陽山、三叉山一帶向南望，可盡 覽關山大斷崖的「南一段」特殊地形景觀；向陽山崩崖險峻、三叉山廣闊草峰，在視覺體驗上，極富變化。,本路線行程向北與八通關日治越道西段連接，往南則與三叉山、向陽山及新康山步道相連，攀登須用約七日的時間完成全部高山攬勝行程。第一天東埔(5.5K) →樂樂山屋第二天樂樂山屋(11.6K) →八通關(3.5K) →巴奈伊克(2.5K) →中央金礦山屋(3.3K) →白洋金礦山屋第三天白洋金礦山屋(0.5K) → 秀姑坪(2.4K) → 大水窟山(5.3K) →大水窟山屋第四天大水窟山屋(1.5K) → 南大水窟山(7.1K) → 達芬尖山(5.7K) →塔芬谷山屋第五天塔芬谷山屋(1.9K) → 塔芬山(0.3K) → 塔芬池(4.3K) →轆轆山(0.7K) →轆轆谷山屋第六天轆轆谷山屋(4.5K) →雲峰東峰營地(3.1K) →南雙頭山(3K) →拉庫音溪底山屋第七天拉庫音溪底山屋(6K) → 嘉明湖(0.3K) → 三叉山(4.6K) → 向陽山(6.7K) → 南橫公路向陽登山口,東埔登山口：可由高雄甲仙或台東關山沿台20線南橫公路抵達，另在台東有國光客運每日一班車往返天池或自台南搭往南橫天池之興南客運到天池後換搭台東往天池班車，兩線均在向陽站下車即可。 向陽登山口：可自行開車自花蓮玉里鎮沿台18線公路抵達，另在玉里有花蓮客運班車到卓樂後再自行沿台30線公路抵達。[玉山園區聯外道路路況]，敬請出發前先與公路單位或玉管處各遊客中心聯繫。 台21線新中橫公路-信義工務段049-2791510或新中橫監工站049-2702033 台20線南橫公路-甲仙工務段 07-6751010或關山工務段 089-811024高級登山步道。 [登山路線路況]洽詢單位及電話： 東埔～達芬尖山：塔塔加管理站，049-2702200 三叉山~塔芬山：梅山管理站，07-6866181,玉山國家公園,https://npm.cpami.gov.tw/images/map/ys_04%E5%8D%97%E4%BA%8C%E6%AE%B5%E7%B7%9A.jpg
南橫三山及關山線,南橫三山包括庫哈諾辛山、塔關山及關山嶺山與關山均為南橫公路附近之山峰，其登山口均位於南橫公路（關山及庫哈諾辛山在進涇橋、塔關山在南橫公路147.3公里處、關山嶺山在大關山隧道附近）。此四座海拔均在三千公尺以上為百岳名山；尤其關山山形獨特呈金字塔狀，為玉山國家公園南側範圍之界山。攀登方式自登山口往返即可，庫哈諾辛山步道全長約3.5公里，塔關山步道約2.2公里，關山嶺山步道約1.5公里，關山步道約5.6公里，自南橫公路開通後已減低攀登的時間與困難性。,此四條步道均與南橫公路連接，登山口均在南橫公路，每條路線行程安排僅需二日以內即可完成。第一天南橫公路進涇橋登山口(1.7K) → 庫哈諾辛山屋(1.8K) →庫哈諾辛山(1.8K) →庫哈諾辛山屋第二天庫哈諾辛山屋(3.9K) →關山(3.9K) →庫哈諾辛山屋第三天庫哈諾辛山屋(14K) → 南橫公路塔關山登山口(2.2K) →塔關山(2.2K) →登山口(5K) →埡口山莊第四天埡口山莊(2K) →大關山隧道東側登山口(1.5K) →關山嶺山(1.5K) →南橫公路(關山嶺山)登山口,可由高雄甲仙或台東關山沿台20線南橫公路自行開車抵達。 自台南搭往南橫天池之興南客運班車到天池後，轉搭國光客運班車到各登山口下車。 自台東關山搭乘國光客運班車往天池在各登山口下車。[玉山園區聯外道路路況]，敬請出發前先與公路單位或玉管處各遊客中心聯繫。 甲仙工務段 07-6751014 關山工務段 089-811024中級登山步道。 [登山路線路況]洽詢單位及電話： 庫哈諾辛山、關山：梅山管理站，07-6866181,玉山國家公園,https://npm.cpami.gov.tw/images/map/ys_06%E5%8D%97%E6%A9%AB%E4%B8%89%E5%B1%B1%E5%8F%8A%E9%97%9C%E5%B1%B1%E7%B7%9A.png
奇萊主北峰,奇萊主北是岳界相當著名的一條熱門路線，它並非困難攀登的路線，只是缺乏登山基本知識及安全觀念的山難不斷發生後，再加上岩石顏色較深，所以被稱為「黑色奇萊」。奇萊北峰是百岳十峻之一，山型如插天戟挺拔尖銳、陡峭奇特，代表山岳剛烈威猛一面。奇萊主峰山勢雄偉，一面是連綿柔美草原，另一面則是裸露黑色岩壁，氣勢壯觀。兩山之間草原連綿，如茵清柔，值得一遊。,第一天奇萊登山口→黑水塘山屋→成功山屋→奇萊山屋第二天奇萊山屋→奇萊北峰→奇萊山屋→奇萊主峰→奇萊山屋第三天奇萊山屋→成功山屋→黑水塘山屋→奇萊登山口,可沿台14甲線公路到達合歡山，循松雪樓下方水泥路即可到達。從太魯閣走台8縣到了大禹嶺(112.5k)，轉台14縣經小風口(36.5k)，到了石門山(33.5k)再走一小段路就可到達。,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_01%E5%A5%87%E8%90%8A%E4%B8%BB%E5%8C%97%E5%B3%B0.jpg
奇萊東稜,奇萊東稜為奇萊山群東翼稜線，故以此為名。主要百岳有奇萊北峰、磐石山、太魯閣大山、立霧主山、帕托魯山，及和煦草坡、水鹿為此條路線特色。 擁有臺灣高山一怪的奇萊北峰，全山山勢峻峭聳拔，山容獨霸一方。下載「奇萊東稜路標規劃及施作紀錄表」奇萊東稜路標規劃及施作紀錄表,第一天奇萊登山口→黑水塘山屋→成功山屋第二天成功山屋→奇萊北峰→月形池→驚歎號水池→磐石西峰下黑水塘營地第三天磐石西峰下黑水塘營地→磐石中峰營地→磐石山→鐵線斷崖前營地→白石營地第四天白石營地→三叉營地→太魯閣大山→三叉營地第五天三叉營地→平安池→大理石營地→立霧主山→2818乾水池營地第六天2818乾水池營地→三岔路營地→帕托魯山→三岔路營地→研海林道12K工寮第七天研海林道12K工寮→研海林道9K工寮→岳王亭,奇萊山登山口：由南投縣霧社或中橫公路大禹嶺，均可沿台14甲線公路到達合歡山；再循松雪樓下方水泥路即可到達奇萊山登山入口。 岳王亭登山口：可沿台8線公路由太魯閣合流露營區旁岳王亭登山口進入。,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_02%E5%A5%87%E8%90%8A%E6%9D%B1%E7%A8%9C.jpg
