縣市,鄉鎮,名字,description,描述,營地數量,營地價錢
苗栗縣,泰安鄉,一片天露營區,http://evshhips.pixnet.net/blog/post/263966320,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,泰安鄉,嗎哪露營區,http://evshhips.pixnet.net/blog/post/263197603,                     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
新竹縣,尖石鄉,水田營地,http://evshhips.pixnet.net/blog/post/259134742,                       有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,泰安鄉,遊牧民族露營區,http://evshhips.pixnet.net/blog/post/255625276,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,通霄鎮,釣魚的貓地中海民宿露營區,http://evshhips.pixnet.net/blog/post/250133086,       有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,卓蘭鎮,山林鳥日子露營區,http://evshhips.pixnet.net/blog/post/245762080,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,三灣鄉,神農科技休閒農場,http://evshhips.pixnet.net/blog/post/241788250,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,獅潭鄉,紙湖農場露營區,http://evshhips.pixnet.net/blog/post/232049176,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,苑裡鎮,野宿谷露營區,http://evshhips.pixnet.net/blog/post/228107311,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,通霄鎮,青雲露營區,http://evshhips.pixnet.net/blog/post/228808648,                     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
新竹縣,五峰鄉,莫那的家露營區,http://evshhips.pixnet.net/blog/post/271898971,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
桃園市,復興區,薔薇谷露營區,http://evshhips.pixnet.net/blog/post/278805427,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,泰安鄉,美富安松林溪露營區,http://evshhips.pixnet.net/blog/post/271724617,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,南庄鄉,嘎嘎歐岸文化部落,http://evshhips.pixnet.net/blog/post/286266700,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,泰安鄉,約會露營區,http://evshhips.pixnet.net/blog/post/313203585,                     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
新北市,新店區,確幸莊園(1),http://evshhips.pixnet.net/blog/post/315668721,                    有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
新北市,石門區,白沙灣海角一號,http://evshhips.pixnet.net/blog/post/315764532,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,南庄鄉 , 紅毛印象露營窩(1),http://evshhips.pixnet.net/blog/post/316316796,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,南庄鄉, 南庄鄉露露,http://evshhips.pixnet.net/blog/post/320052957,                    有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
桃園市,復興區,奎輝營地,http://evshhips.pixnet.net/blog/post/323142942,                       有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
桃園市,復興區,彩霞谷FUN露營,http://evshhips.pixnet.net/blog/post/318188844,                  有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
新竹縣,五峰鄉, 有愛一家露營區,http://evshhips.pixnet.net/blog/post/325698792,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
新竹縣,五峰鄉,布魯的家露營區,http://evshhips.pixnet.net/blog/post/326072124,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
宜蘭縣,員山鄉,鴻利山莊忘憂谷營地,http://evshhips.pixnet.net/blog/post/326654895,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
新竹縣,尖石鄉, 綠侑子露營區,http://evshhips.pixnet.net/blog/post/327074664,                  有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,500
苗栗縣,南庄鄉, 萱草森林民宿露營地,http://evshhips.pixnet.net/blog/post/327310821,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,500
新竹縣,尖石鄉, 遇見嵨繞露營區,http://evshhips.pixnet.net/blog/post/328065264,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,500
苗栗縣,南庄鄉,河畔露營區,http://evshhips.pixnet.net/blog/post/329412639,                     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,500
新竹縣,尖石鄉, 晴空森林露營地,http://evshhips.pixnet.net/blog/post/330868310,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,500
新竹縣,五峰鄉, 漫步天湖露營區,http://evshhips.pixnet.net/blog/post/331346744,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,500
苗栗縣,大湖鄉, 微笑山丘露營區,http://evshhips.pixnet.net/blog/post/332764821,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,500
苗栗縣,卓蘭鎮, 橘舍三食露營區,http://evshhips.pixnet.net/blog/post/331351493,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,500
新北市,金山區,綠峰渡假山莊露營區,http://evshhips.pixnet.net/blog/post/332762529,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,500
苗栗縣,南庄鄉, 巴卡的天空露營區,http://evshhips.pixnet.net/blog/post/331348214,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,500
桃園市,大溪區,陽光種子親子農趣園,http://evshhips.pixnet.net/blog/post/334302244,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新北市,新店區, 確幸莊園(2),http://evshhips.pixnet.net/blog/post/335217380,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,公館鄉, 樹語星晴露營區,http://evshhips.pixnet.net/blog/post/337372088,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,大湖鄉,馬菈棒景觀露營區,http://evshhips.pixnet.net/blog/post/337089977,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,尖石鄉,童話森林露營區(1),http://evshhips.pixnet.net/blog/post/339180989,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,卓蘭鎮,山林野地親子露營區,http://evshhips.pixnet.net/blog/post/339471323,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,公館鄉, 希望樂園親子露營地,http://evshhips.pixnet.net/blog/post/340812699,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,公館鄉, 享樂祕境親子露營地,http://evshhips.pixnet.net/blog/post/340099044,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,橫山鄉,綠雲海景觀親子露營區,http://evshhips.pixnet.net/blog/post/341330193,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,銅鑼鄉, 風山雅筑親子露營地,http://evshhips.pixnet.net/blog/post/341139027,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,苑裡鎮,珍愛幸福親子露營地,http://evshhips.pixnet.net/blog/post/341462886,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,五峰鄉, 戈巴侖森林露營地,http://evshhips.pixnet.net/blog/post/341918481,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,五峰鄉, 千鶴景觀露營地,http://evshhips.pixnet.net/blog/post/339553406,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,大湖鄉, 悠活憶境親子露營地,http://evshhips.pixnet.net/blog/post/342498280,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,尖石鄉, 秘花園親子露營區,http://evshhips.pixnet.net/blog/post/343520851,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,公館鄉,開礦露營區,http://evshhips.pixnet.net/blog/post/343678064,                     有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,獅潭鄉, 大坪左岸親子露營地,http://evshhips.pixnet.net/blog/post/343894021,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,南庄鄉 ,晴園山莊親子景觀露營地,http://evshhips.pixnet.net/blog/post/343893898,        有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
桃園市,大溪區,綠果子親子露營休憩站,http://evshhips.pixnet.net/blog/post/344161876,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,五峰鄉, 好麻吉私房景點露營地,http://evshhips.pixnet.net/blog/post/344347732,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,尖石鄉,飛高高溫泉露營地,http://evshhips.pixnet.net/blog/post/344502856,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
桃園市,大溪區 ,楓之谷親子露營地,http://evshhips.pixnet.net/blog/post/344685745,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,泰安鄉 ,雲朵朵親子露營區,http://evshhips.pixnet.net/blog/post/346721347,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,獅潭鄉 ,小岔路親子露營地,http://evshhips.pixnet.net/blog/post/346617154,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,大湖鄉 , 微笑山妍親子露營地,http://evshhips.pixnet.net/blog/post/347344646,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,大湖鄉 , 夢之谷親子露營樂園(1),http://evshhips.pixnet.net/blog/post/347313755,        有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,南庄鄉 , 星星杉丘親子露營區,http://evshhips.pixnet.net/blog/post/347376257,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,南庄鄉 , 一畝田親子露營區,http://evshhips.pixnet.net/blog/post/347492579,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,尖石鄉 , 梅花梯田親子露營區 ,http://evshhips.pixnet.net/blog/post/347177726,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,五峰鄉 , 移動城堡親子景觀露營區,http://evshhips.pixnet.net/blog/post/347117584,       有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新北市,石門區 , 碉堡親子海景露營區,http://evshhips.pixnet.net/blog/post/347847673,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,泰安鄉 , 印象泰雅露營區,http://evshhips.pixnet.net/blog/post/342956275,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,五峰鄉 , 田秘的家親子露營區,http://evshhips.pixnet.net/blog/post/348231187,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
宜蘭縣,頭城鎮 , 微笑灣海景親子露營區,http://evshhips.pixnet.net/blog/post/348231580,         有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,銅鑼鄉 , 風山雅筑親子露營區(2訪),http://evshhips.pixnet.net/blog/post/348395314,      有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,大湖鄉 , 紮營趣親子露營區,http://evshhips.pixnet.net/blog/post/348636439,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,尖石鄉 ,樂奔VIP景觀露營區,http://evshhips.pixnet.net/blog/post/348745903,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,卓蘭鎮 , 緣野營客親子露營區,http://evshhips.pixnet.net/blog/post/348636214,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新北市,三芝區 ,逐風踏浪海景親子露營區,http://evshhips.pixnet.net/blog/post/349063057,        有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,泰安鄉 , 晨風親子露營樂園,https://evshhips.pixnet.net/blog/post/349255363,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,南庄鄉 , 六呆親子景觀露營區,https://evshhips.pixnet.net/blog/post/349294630,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,大湖鄉 , 瑪那邦之星雲景露營區,https://evshhips.pixnet.net/blog/post/349379260,        有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,南庄鄉 ,杉彩森林親子露營區,https://evshhips.pixnet.net/blog/post/349422931,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,卓蘭鎮 ,兩朵雲親子露營樂園 ,https://evshhips.pixnet.net/blog/post/349460992,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
宜蘭縣,南澳鄉 , 南澳鄉農場露營區,https://evshhips.pixnet.net/blog/post/349657639,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,五峰鄉 , 戀戀天湖親子露營區,https://evshhips.pixnet.net/blog/post/348511204,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,新豐鄉 , 新豐鄉親子休閒露營區,https://evshhips.pixnet.net/blog/post/349013659,        有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,獅潭鄉 , 國王的移動城堡親子露營區,https://evshhips.pixnet.net/blog/post/349902403,    有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,尖石鄉 ,童話森林親子露營水樂園(2),https://evshhips.pixnet.net/blog/post/350210320,    有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,南庄鄉 ,紅毛印象露營窩親子(2),https://evshhips.pixnet.net/blog/post/350311321,        有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,獅潭鄉 ,思情華意親子露營樂園,https://evshhips.pixnet.net/blog/post/350078656,         有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,大湖鄉 ,夢之谷親子露營樂園(2),https://evshhips.pixnet.net/blog/post/350495512,        有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
新竹縣,尖石鄉 ,怪獸綠境景觀露營區,https://evshhips.pixnet.net/blog/post/350701861,           有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
新北市,石門區 ,碉堡親子海景露營區(2),https://evshhips.pixnet.net/blog/post/350780089,        有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,泰安鄉 , 好地方親子露營區,https://evshhips.pixnet.net/blog/post/350833105,            有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,三義鄉 , 獸巢(親子露營),https://evshhips.pixnet.net/blog/post/350985169,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,卓蘭鎮 , 小白屋親子農園,https://evshhips.pixnet.net/blog/post/351101590,              有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,後龍鎮 , 台灣水牛城/露營,https://evshhips.pixnet.net/blog/post/351346921,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,大湖鄉 ,東和景觀露營區,https://evshhips.pixnet.net/blog/post/351382945,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,大湖鄉 ,馬菈棒景觀露營區(2),https://evshhips.pixnet.net/blog/post/351682177,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,泰安鄉 , 楓櫻秘境景觀露營區,https://evshhips.pixnet.net/blog/post/351769564,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,南庄鄉 , 星星杉丘親子露營區2,https://evshhips.pixnet.net/blog/post/352046020,         有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
苗栗縣,大湖鄉 , 一遊味境親子露營區,https://evshhips.pixnet.net/blog/post/351592711,          有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,700
